,ticker,look_back,look_front,trainScore,testScore
101,EWJ,6,0,1.0008315262467515,0.8125629724474509
102,EWT,1,1,0.486266465730274,0.4881702190028555
103,EWT,2,0,0.7435495790762564,0.5374323560004961
104,EWT,2,2,0.4350599602849656,0.5331635600148051
105,EWT,4,0,0.8249978174091267,0.6906597250102074
106,EWT,3,3,0.4712803307070456,0.5864749791099766
107,EWT,6,0,0.9131571576604061,0.8359718185355681
108,MCHI,1,1,1.1344672948565726,0.9111104183812665
109,MCHI,2,0,1.440908137437663,1.0097178194115723
110,MCHI,2,2,0.958247027522429,0.9539751596080474
111,MCHI,4,0,1.661263485852157,1.285363188131721
112,MCHI,3,3,0.8613392981053805,1.0842487313836788
113,MCHI,6,0,1.8102435890834223,1.5610575352698886
114,INDA,1,1,0.3338412779021577,0.41208199374361004
115,INDA,2,0,0.5892830595230981,0.4933909964084154
116,INDA,2,2,0.31634726054434376,0.40411952291549114
117,INDA,4,0,0.6200452277577199,0.47197899411271155
118,INDA,3,3,0.3233751245577615,0.43376929229538674
119,INDA,6,0,0.6519666657234648,0.5026338202840214
120,EWY,1,1,0.7250021114238515,0.9953257351255376
121,EWY,2,0,1.244277779382715,1.074571946103719
122,EWY,2,2,0.6758722664489417,1.1436209240964028
123,EWY,4,0,1.3847785539368187,1.2909802079359496
124,EWY,3,3,0.8381480206296138,1.197093660797315
125,EWY,6,0,1.4276376007914244,1.4661437816376046
126,EWA,1,1,0.20565998377680034,0.2792637286151765
127,EWA,2,0,0.3940136628128238,0.2997035352014479
128,EWA,2,2,0.23385929420549686,0.31507615926888566
129,EWA,4,0,0.44471260267329044,0.3502962921275887
130,EWA,3,3,0.22634127666996892,0.34644840031077095
131,EWA,6,0,0.450073460230807,0.35972290126108575
132,EWH,1,1,0.26335494613777927,0.23447384542379743
133,EWH,2,0,0.4254149605056354,0.2816243059648364
134,EWH,2,2,0.23210666200618696,0.24051206279348092
135,EWH,4,0,0.40715978731828095,0.2944763028802593
136,EWH,3,3,0.23294574583054214,0.2678671893351847
137,EWH,6,0,0.4696518057220549,0.3534960835717071
138,EWZ,1,1,0.36535669616436917,0.5200167361325883
139,EWZ,2,0,0.7369484314907195,0.5974487044030736
140,EWZ,2,2,0.41595561066379344,0.6123134331656371
141,EWZ,4,0,0.8254110401482743,0.6654747929036704
142,EWZ,3,3,0.39410457188705633,0.6830915773805991
143,EWZ,6,0,0.8462810862919709,0.6934078022470225
144,EWC,1,1,0.30805213756590044,0.34582322364005247
145,EWC,2,0,0.6139846700213816,0.38043106770047413
146,EWC,2,2,0.3565409963926509,0.3826393276719577
147,EWC,4,0,0.6782831819584425,0.44147971459684104
148,EWC,3,3,0.36336995599088884,0.4264833556531284
149,EWC,6,0,0.7658422633713643,0.5296591563315984
150,IEMG,1,1,0.5402350502897263,0.5015706097545544
151,IEMG,2,0,0.8139369823298767,0.579880381003901
152,IEMG,2,2,0.472269928108184,0.5905988940981673
153,IEMG,4,0,0.9469290294253442,0.7484103901021322
154,IEMG,3,3,0.6059044863766708,0.6262801415317042
155,IEMG,6,0,0.9927220464447133,0.8398857663272076
156,LQD,1,1,0.5914108575518476,0.713941224539742
157,LQD,2,0,1.0681517919740808,0.7992057217939605
158,LQD,2,2,0.5889430360640271,0.8382667735522454
159,LQD,4,0,1.0954643772752388,0.95504675343348
160,LQD,3,3,0.6491494130618274,0.9810632904600995
161,LQD,6,0,1.2207008580456906,1.1402289983694447
162,HYG,1,1,0.3285897482107084,0.4876106917110708
163,HYG,2,0,0.6495049796347526,0.5120467387444666
164,HYG,2,2,0.3677255692431276,0.5372975625526776
165,HYG,4,0,0.7002835479299295,0.5715435365343524
166,HYG,3,3,0.462445232999285,0.5980169362823777
167,HYG,6,0,0.8009572473135577,0.6751524878546566
168,SHY,1,1,0.09560981396395046,0.10552210400178123
169,SHY,2,0,0.14829872546282566,0.11575732896109982
170,SHY,2,2,0.08308571338028706,0.12353301464236742
171,SHY,4,0,0.16969482760487478,0.13351805253452387
172,SHY,3,3,0.10574986640506225,0.12436346689603864
173,SHY,6,0,0.17639776608053412,0.14222161684297993
